"Periodo","Dias","Anos"
2000-01-01,552,1.51
2000-02-01,559,1.53
2000-03-01,563,1.54
2000-04-01,576,1.58
2000-05-01,571,1.56
2000-06-01,569,1.56
2000-07-01,549,1.5
2000-08-01,542,1.48
2000-09-01,538,1.47
2000-10-01,530,1.45
2000-11-01,536,1.47
2000-12-01,539,1.48
2001-01-01,539,1.48
2001-02-01,547,1.5
2001-03-01,571,1.56
2001-04-01,589,1.61
2001-05-01,619,1.7
2001-06-01,633,1.73
2001-07-01,653,1.79
2001-08-01,689,1.89
2001-09-01,711,1.95
2001-10-01,717,1.96
2001-11-01,740,2.03
2001-12-01,745,2.04
2002-01-01,755,2.07
2002-02-01,753,2.06
2002-03-01,764,2.09
2002-04-01,764,2.09
2002-05-01,786,2.15
2002-06-01,792,2.17
2002-07-01,802,2.2
2002-08-01,810,2.22
2002-09-01,827,2.27
2002-10-01,838,2.3
2002-11-01,846,2.32
2002-12-01,859,2.35
2003-01-01,896,2.45
2003-02-01,913,2.5
2003-03-01,909,2.49
2003-04-01,920,2.52
2003-05-01,912,2.5
2003-06-01,911,2.5
2003-07-01,906,2.48
2003-08-01,905,2.48
2003-09-01,893,2.45
2003-10-01,903,2.47
2003-11-01,903,2.47
2003-12-01,908,2.49
2004-01-01,947,2.59
2004-02-01,954,2.61
2004-03-01,948,2.6
2004-04-01,969,2.65
2004-05-01,969,2.65
2004-06-01,974,2.67
2004-07-01,979,2.68
2004-08-01,988,2.71
2004-09-01,1025,2.81
2004-10-01,1052,2.88
2004-11-01,1047,2.87
2004-12-01,1071,2.93
2005-01-01,1084,2.97
2005-02-01,1111,3.04
2005-03-01,1113,3.05
2005-04-01,1123,3.08
2005-05-01,1139,3.12
2005-06-01,1142,3.13
2005-07-01,1147,3.14
2005-08-01,1148,3.15
2005-09-01,1161,3.18
2005-10-01,1172,3.21
2005-11-01,1189,3.26
2005-12-01,1210,3.32
2006-01-01,1240,3.4
2006-02-01,1253,3.43
2006-03-01,1332,3.65
2006-04-01,1355,3.71
2006-05-01,1372,3.76
2006-06-01,1402,3.84
2006-07-01,1422,3.9
2006-08-01,1443,3.95
2006-09-01,1471,4.03
2006-10-01,1489,4.08
2006-11-01,1530,4.19
2006-12-01,1559,4.27
2007-01-01,1573,4.31
2007-02-01,1601,4.39
2007-03-01,1688,4.62
2007-04-01,1715,4.7
2007-05-01,1729,4.74
2007-06-01,1772,4.85
2007-07-01,1781,4.88
2007-08-01,1881,5.15
2007-09-01,1917,5.25
2007-10-01,1966,5.39
2007-11-01,1965,5.38
2007-12-01,2036,5.58
2008-01-01,2107,5.77
2008-02-01,2126,5.82
2008-03-01,2163,5.93
2008-04-01,2196,6.02
2008-05-01,2236,6.13
2008-06-01,2231,6.11
2008-07-01,2287,6.27
2008-08-01,2331,6.39
2008-09-01,2334,6.39
2008-10-01,2359,6.46
2008-11-01,2322,6.36
2008-12-01,2349,6.44
2009-01-01,2345,6.42
2009-02-01,2335,6.4
2009-03-01,2306,6.32
2009-04-01,2288,6.27
2009-05-01,2273,6.23
2009-06-01,2261,6.19
2009-07-01,2256,6.18
2009-08-01,2249,6.16
2009-09-01,2229,6.11
2009-10-01,2227,6.1
2009-11-01,2221,6.08
2009-12-01,2299,6.3
2010-01-01,2295,6.29
2010-02-01,2299,6.3
2010-03-01,2331,6.39
2010-04-01,2319,6.35
2010-05-01,2335,6.4
2010-06-01,2332,6.39
2010-07-01,2370,6.49
2010-08-01,2416,6.62
2010-09-01,2408,6.6
2010-10-01,2454,6.72
2010-11-01,2459,6.74
2010-12-01,2606,7.14
2011-01-01,2611,7.15
2011-02-01,2651,7.26
2011-03-01,2641,7.24
2011-04-01,2645,7.25
2011-05-01,2630,7.21
2011-06-01,2670,7.32
2011-07-01,2673,7.32
2011-08-01,2663,7.3
2011-09-01,2700,7.4
2011-10-01,2660,7.29
2011-11-01,2642,7.24
2011-12-01,2740,7.51
2012-01-01,2718,7.45
2012-02-01,2711,7.43
2012-03-01,2685,7.36
2012-04-01,2700,7.4
2012-05-01,2689,7.37
2012-06-01,2800,7.67
2012-07-01,2766,7.58
2012-08-01,2763,7.57
2012-09-01,2739,7.5
2012-10-01,2742,7.51
2012-11-01,2744,7.52
2012-12-01,2867,7.85
2013-01-01,2837,7.77
2013-02-01,2848,7.8
2013-03-01,2832,7.76
2013-04-01,2817,7.72
2013-05-01,2823,7.73
2013-06-01,2873,7.87
2013-07-01,2873,7.87
2013-08-01,2820,7.73
2013-09-01,2815,7.71
2013-10-01,2793,7.65
2013-11-01,2774,7.6
2013-12-01,2849,7.81
2014-01-01,2825,7.74
2014-02-01,2793,7.65
2014-03-01,2789,7.64
2014-04-01,2811,7.7
2014-05-01,2785,7.63
2014-06-01,2849,7.81
2014-07-01,2818,7.72
2014-08-01,2818,7.72
2014-09-01,2804,7.68
2014-10-01,2811,7.7
2014-11-01,2793,7.65
2014-12-01,2915,7.99
2015-01-01,2900,7.95
2015-02-01,2913,7.98
2015-03-01,2893,7.93
2015-04-01,2887,7.91
2015-05-01,2900,7.95
2015-06-01,2920,8
2015-07-01,2907,7.96
2015-08-01,2882,7.9
2015-09-01,2872,7.87
2015-10-01,2858,7.83
2015-11-01,2858,7.83
2015-12-01,2848,7.8
2016-01-01,2843,7.79
2016-02-01,2818,7.72
2016-03-01,2812,7.7
2016-04-01,2794,7.65
2016-05-01,2810,7.7
2016-06-01,2912,7.98
2016-07-01,2888,7.91
2016-08-01,2870,7.86
2016-09-01,2859,7.83
2016-10-01,2896,7.93
2016-11-01,2860,7.84
2016-12-01,2881,7.89
2017-01-01,2844,7.79
2017-02-01,2844,7.79
2017-03-01,2880,7.89
2017-04-01,2856,7.82
2017-05-01,2863,7.84
2017-06-01,2876,7.88
2017-07-01,2848,7.8
2017-08-01,2828,7.75
2017-09-01,2852,7.81
2017-10-01,2850,7.81
2017-11-01,2840,7.78
2017-12-01,2917,7.99
2018-01-01,2891,7.92
2018-02-01,2867,7.85
2018-03-01,2875,7.88
2018-04-01,2856,7.82
2018-05-01,2815,7.71
2018-06-01,2852,7.81
2018-07-01,2883,7.9
2018-08-01,2886,7.91
2018-09-01,2855,7.82
2018-10-01,2842,7.79
2018-11-01,2804,7.68
2018-12-01,2844,7.79
2019-01-01,2853,7.82
2019-02-01,2844,7.79
2019-03-01,2854,7.82
2019-04-01,2833,7.76
2019-05-01,2796,7.66
2019-06-01,2860,7.84
2019-07-01,2841,7.78
2019-08-01,2843,7.79
2019-09-01,2852,7.81
2019-10-01,2830,7.75
2019-11-01,2801,7.67
2019-12-01,2854,7.82
2020-01-01,2877,7.88
2020-02-01,2891,7.92
2020-03-01,2847,7.8
2020-04-01,2809,7.7
2020-05-01,2755,7.55
2020-06-01,2765,7.58
2020-07-01,2752,7.54
2020-08-01,2732,7.48
2020-09-01,2724,7.46
2020-10-01,2701,7.4
2020-11-01,2652,7.27
2020-12-01,2715,7.44
2021-01-01,2701,7.4
2021-02-01,2700,7.4
2021-03-01,2680,7.34
2021-04-01,2637,7.22
2021-05-01,2615,7.16
2021-06-01,2650,7.26
2021-07-01,2638,7.23
2021-08-01,2625,7.19
2021-09-01,2592,7.1
2021-10-01,2601,7.13
2021-11-01,2598,7.12
2021-12-01,2643,7.24
2022-01-01,2646,7.25
2022-02-01,2662,7.29
2022-03-01,2647,7.25
2022-04-01,2669,7.31
2022-05-01,2638,7.23
2022-06-01,2715,7.44
2022-07-01,2745,7.52
2022-08-01,2751,7.54
2022-09-01,2755,7.55
2022-10-01,2774,7.6
2022-11-01,2788,7.64
2022-12-01,2806,7.69
2023-01-01,2765,7.58
2023-02-01,2759,7.56
2023-03-01,2756,7.55
2023-04-01,2764,7.57
2023-05-01,2757,7.55
2023-06-01,2797,7.66
2023-07-01,2836,7.77
2023-08-01,2810,7.7
2023-09-01,2780,7.62
2023-10-01,2795,7.66
2023-11-01,2843,7.79
2023-12-01,2864,7.85
2024-01-01,2830,7.75
2024-02-01,2822,7.73
2024-03-01,2790,7.64
2024-04-01,2780,7.62
2024-05-01,2777,7.61
2024-06-01,2767,7.58
2024-07-01,2739,7.5
2024-08-01,2712,7.43
2024-09-01,2727,7.47
2024-10-01,2734,7.49
2024-11-01,2741,7.51
2024-12-01,2777,7.61
2025-01-01,2772,7.59
2025-02-01,2777,7.61
2025-03-01,2803,7.68
2025-04-01,2808,7.69
2025-05-01,2832,7.76
2025-06-01,2818,7.72
2025-07-01,2812,7.7
2025-08-01,2790,7.64
2025-09-01,2763,7.57
2025-10-01,2830,7.75
2025-11-01,2797,7.66
2025-12-01,2811,7.7
2026-01-01,2840,7.78
2026-02-01,2879,7.89
2026-03-01,2914,7.98
2026-04-01,2945,8.07
2026-05-01,2959,8.11
